"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
315,01/24/19 01:33:43 PM,34.174,0.3395,116.2,18.948,89.700
316,01/24/19 02:33:43 PM,34.174,0.3395,93.7,21.294,89.500
317,01/24/19 03:33:43 PM,34.174,0.3395,66.2,21.519,89.900
318,01/24/19 04:33:43 PM,34.174,0.3388,38.7,20.955,88.600
319,01/24/19 05:33:43 PM,34.124,0.3388,6.2,15.802,88.800
320,01/24/19 06:33:43 PM,34.124,0.3380,1.2,11.226,86.500
321,01/24/19 07:33:43 PM,34.124,0.3380,1.2,7.898,85.500
322,01/24/19 08:33:43 PM,34.124,0.3380,1.2,6.165,85.400
323,01/24/19 09:33:43 PM,34.124,0.3395,1.2,5.457,84.200
324,01/24/19 10:33:43 PM,34.124,0.3409,1.2,3.207,83.000
325,01/24/19 11:33:43 PM,34.075,0.3431,1.2,1.252,81.600
326,01/25/19 12:33:43 AM,34.075,0.3424,1.2,-0.143,81.400
327,01/25/19 01:33:43 AM,34.027,0.3417,1.2,-1.413,81.000
328,01/25/19 02:33:43 AM,33.978,0.3402,1.2,-2.879,80.500
329,01/25/19 03:33:43 AM,33.978,0.3388,1.2,-4.216,80.800
330,01/25/19 04:33:43 AM,33.928,0.3373,1.2,-5.415,81.500
331,01/25/19 05:33:43 AM,33.879,0.3358,1.2,-6.378,81.900
332,01/25/19 06:33:43 AM,33.879,0.3366,1.2,-6.911,81.900
333,01/25/19 07:33:43 AM,33.831,0.3373,1.2,-7.721,81.800
334,01/25/19 08:33:43 AM,33.780,0.3358,23.7,-6.290,81.600
335,01/25/19 09:33:43 AM,33.780,0.3351,136.2,-2.713,79.100
336,01/25/19 10:33:43 AM,33.732,0.3351,201.2,0.014,75.000
